Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A
E1,3/10/2026,18:00,Leicester,Bristol City,2.2,3.5,3
E1,3/10/2026,18:00,Millwall,Derby,2,3.25,3.6
E1,3/10/2026,18:00,Portsmouth,Swansea,2.15,3.3,3.25
E1,3/10/2026,18:00,Sheffield Weds,Watford,7,4.33,1.42
E1,3/10/2026,18:00,Wrexham,Hull,1.9,3.5,3.7
E1,3/10/2026,18:00,Stoke,Ipswich,4.5,3.75,1.66
E1,3/11/2026,18:00,Birmingham,QPR,1.69,3.75,4.5
E1,3/11/2026,18:00,Middlesbrough,Charlton,1.35,4.75,7.5
E1,3/11/2026,18:00,Norwich,Sheffield United,2.5,3.5,2.55
E1,3/11/2026,18:00,Oxford,Blackburn,2.65,3.2,2.65
E1,3/11/2026,18:00,West Brom,Southampton,2.7,3.5,2.35
E1,3/11/2026,18:00,Coventry,Preston,1.42,4.75,6
