Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A
E0,3/14/2026,14:00,Burnley,Bournemouth,4.2,3.7,1.83
E0,3/14/2026,14:00,Sunderland,Brighton,3.3,3.4,2.2
E0,3/14/2026,16:30,Arsenal,Everton,1.36,4.33,9.5
E0,3/14/2026,16:30,Chelsea,Newcastle,1.8,4.2,3.8
E0,3/14/2026,18:00,West Ham,Man City,4.5,4.5,1.66
E0,3/15/2026,18:00,Crystal Palace,Leeds,2.3,3.4,3
E0,3/15/2026,18:00,Man United,Aston Villa,1.72,3.8,4.33
E0,3/15/2026,18:00,Nott'm Forest,Fulham,2.15,3.5,3.3
E0,3/15/2026,18:00,Liverpool,Tottenham,1.33,5,8.5
E0,3/15/2026,18:00,Brentford,Wolves,1.53,3.9,6
